method,comparison,plddt,pae,pct_tm_cons,pct_nontm_cons,or_tm_cons,pct_dd_in_cons,pct_dd_in_tm,fold_dd_tm,fold_dd_cons,fold_dd_both,n_dd,pct_residues_cons
AIC (no pLDDT/PAE),AIC,none,none,47.312895618716645,17.81802249160216,4.141830118364903,65.96958174904944,32.129277566539926,2.2325800345541817,2.9901012012648005,4.355774640020108,526,22.0626585217733
AIC weight (no pLDDT/PAE),AIC weight,none,none,47.28807248355467,17.4508126603935,4.24365295918226,65.5893536121673,32.129277566539926,2.2325800345541817,3.016334443347132,4.358061135894135,526,21.744721894759405
"AIC weight, PAE exclude_center",AIC weight,none,exclude_center,34.34280749658682,22.055540486970308,1.8485067128225936,61.78707224334601,32.129277566539926,2.2325800345541817,2.5935005447713073,5.269933119973176,526,23.823813096131175
"AIC weight, PAE exclude_region",AIC weight,none,exclude_region,34.18145711803401,23.566108201715036,1.684381313140799,52.09125475285171,32.129277566539926,2.2325800345541817,2.0758637544260488,4.212658531938335,526,25.09377344336084
"AIC weight, PAE filter_center",AIC weight,none,filter_center,40.30035993545985,16.916689269544534,3.315397718123421,64.82889733840305,32.129277566539926,2.2325800345541817,3.196398631781447,4.98258819782168,526,20.281856178330298
"AIC weight, PAE filter_region",AIC weight,none,filter_region,42.36068015390344,15.326837613970664,4.060105337198867,61.78707224334601,32.129277566539926,2.2325800345541817,3.215178944712306,4.615503905331773,526,19.217304326081518
"AIC weight, PAE truncate_center",AIC weight,none,truncate_center,46.332381779818796,15.694047445179326,4.637624516035725,63.49809885931559,32.129277566539926,2.2325800345541817,3.15860023344082,4.390929119486158,526,20.10324009573822
"AIC weight, pLDDT exclude",AIC weight,exclude,none,42.57167680278019,20.384318471071794,2.8953231433407094,64.06844106463878,32.129277566539926,2.2325800345541817,2.7173755617006567,4.778815860945139,526,23.577322902154112
"AIC weight, pLDDT exclude, PAE exclude_center",AIC weight,exclude,exclude_center,38.8854412312275,21.995034321600702,2.2565239987787815,59.50570342205324,32.129277566539926,2.2325800345541817,2.436187430922905,4.858132306769955,526,24.425749294466474
"AIC weight, pLDDT exclude, PAE exclude_region",AIC weight,exclude,exclude_region,39.97765917835422,25.018256170585655,1.9961948646486243,61.026615969581755,32.129277566539926,2.2325800345541817,2.2460137534006073,4.527135964907103,526,27.17107848390669
"AIC weight, pLDDT exclude, PAE filter_center",AIC weight,exclude,filter_center,43.378428695544244,15.64605979678274,4.130401662790754,62.16730038022814,32.129277566539926,2.2325800345541817,3.1658163353533313,4.629031152597138,526,19.6370521201729
"AIC weight, pLDDT exclude, PAE filter_region",AIC weight,exclude,filter_region,38.83579496090356,12.668739176698868,4.3769461069439455,58.935361216730044,32.129277566539926,2.2325800345541817,3.5860831790890644,5.03442468165463,526,16.43446575929697
"AIC weight, pLDDT exclude, PAE truncate_center",AIC weight,exclude,truncate_center,40.69753009805138,13.22998602098938,4.500964145383525,57.03422053231939,32.129277566539926,2.2325800345541817,3.319249345865315,4.576899662212699,526,17.18286714535777
"AIC weight, pLDDT remove",AIC weight,remove,none,39.679781556410575,13.43445513154875,4.238687281784036,55.13307984790875,32.129277566539926,2.2325800345541817,3.203280000378808,4.594414202478322,526,17.2114457185725
"AIC weight, pLDDT remove, PAE exclude_center",AIC weight,remove,exclude_center,36.81270944520293,12.702121888626927,4.004012840159298,52.09125475285171,32.129277566539926,2.2325800345541817,3.2210967402177557,4.665153103999959,526,16.171900117886615
"AIC weight, pLDDT remove, PAE exclude_region",AIC weight,remove,exclude_region,37.03611766166067,12.969183584051407,3.947247661617857,51.14068441064639,32.129277566539926,2.2325800345541817,3.1121329971896183,4.351657509250859,526,16.432679598471044
"AIC weight, pLDDT remove, PAE filter_center",AIC weight,remove,filter_center,40.21347896239295,13.05681320286257,4.478852163687611,54.372623574144484,32.129277566539926,2.2325800345541817,3.204996529187253,4.467736938459372,526,16.964955524595435
"AIC weight, pLDDT remove, PAE filter_region",AIC weight,remove,filter_region,37.55740350006206,11.85086273446139,4.473863245063703,54.18250950570342,32.129277566539926,2.2325800345541817,3.484334915215153,4.7485229405984635,526,15.550316150466188
"AIC weight, pLDDT remove, PAE truncate_center",AIC weight,remove,truncate_center,39.45637333995284,12.960837906069395,4.376534479285553,53.99239543726235,32.129277566539926,2.2325800345541817,3.218845970557523,4.4865030373996655,526,16.773836316221914
"AIC, PAE exclude_center",AIC,none,exclude_center,34.34280749658682,22.055540486970308,1.8485067128225936,61.78707224334601,32.129277566539926,2.2325800345541817,2.5935005447713073,5.269933119973176,526,23.823813096131175
"AIC, PAE exclude_region",AIC,none,exclude_region,34.18145711803401,23.6015773331386,1.6810695141737444,52.09125475285171,32.129277566539926,2.2325800345541817,2.0733548902268986,4.212658531938335,526,25.124138177401495
"AIC, PAE filter_center",AIC,none,filter_center,40.30035993545985,17.202528740428548,3.2490918833186875,65.20912547528516,32.129277566539926,2.2325800345541817,3.1768170021400235,4.98258819782168,526,20.526560211481442
"AIC, PAE filter_region",AIC,none,filter_region,42.50961896487526,15.913121492207225,3.907193118801422,61.97718631178707,32.129277566539926,2.2325800345541817,3.139571799540093,4.599332796758348,526,19.740649448076304
"AIC, PAE truncate_center",AIC,none,truncate_center,46.332381779818796,16.24903503098333,4.449739114518078,63.68821292775665,32.129277566539926,2.2325800345541817,3.094912150831858,4.390929119486158,526,20.578358875433146
"AIC, pLDDT exclude",AIC,exclude,none,42.59649993794216,21.049886290137497,2.7831623952230555,64.06844106463878,32.129277566539926,2.2325800345541817,2.6528627626986663,4.776031003217315,526,24.150680527274677
"AIC, pLDDT exclude, PAE exclude_center",AIC,exclude,exclude_center,38.8854412312275,21.995034321600702,2.2565239987787815,59.50570342205324,32.129277566539926,2.2325800345541817,2.436187430922905,4.858132306769955,526,24.425749294466474
"AIC, pLDDT exclude, PAE exclude_region",AIC,exclude,exclude_region,39.97765917835422,25.018256170585655,1.9961948646486243,61.026615969581755,32.129277566539926,2.2325800345541817,2.2460137534006073,4.527135964907103,526,27.17107848390669
"AIC, pLDDT exclude, PAE filter_center",AIC,exclude,filter_center,44.14794588556535,16.413862171128127,4.025268251345282,63.11787072243346,32.129277566539926,2.2325800345541817,3.0932397673898455,4.608191847917297,526,20.40510127531883
"AIC, pLDDT exclude, PAE filter_region",AIC,exclude,filter_region,41.975921558892885,14.289887124705295,4.339056015828065,60.07604562737643,32.129277566539926,2.2325800345541817,3.287476776946825,4.689282108590997,526,18.274211409995356
"AIC, pLDDT exclude, PAE truncate_center",AIC,exclude,truncate_center,43.21707831699143,14.776022867157671,4.389771467107406,61.026615969581755,32.129277566539926,2.2325800345541817,3.234225787270924,4.554610020463742,526,18.869002965026972
"AIC, pLDDT remove",AIC,remove,none,39.70460469157255,13.793319284775396,4.11555930056316,55.13307984790875,32.129277566539926,2.2325800345541817,3.1464634132161255,4.591541795974741,526,17.522237702282712
"AIC, pLDDT remove, PAE exclude_center",AIC,remove,exclude_center,36.81270944520293,12.702121888626927,4.004012840159298,52.09125475285171,32.129277566539926,2.2325800345541817,3.2210967402177557,4.665153103999959,526,16.171900117886615
"AIC, pLDDT remove, PAE exclude_region",AIC,remove,exclude_region,37.03611766166067,12.969183584051407,3.947247661617857,51.14068441064639,32.129277566539926,2.2325800345541817,3.1121329971896183,4.351657509250859,526,16.432679598471044
"AIC, pLDDT remove, PAE filter_center",AIC,remove,filter_center,40.97058458483306,13.749504475369816,4.353897799887946,55.13307984790875,32.129277566539926,2.2325800345541817,3.120696196911353,4.449664406338441,526,17.666916729182294
"AIC, pLDDT remove, PAE filter_region",AIC,remove,filter_region,40.38724090852674,13.536689686828435,4.327373163556583,55.13307984790875,32.129277566539926,2.2325800345541817,3.1684259991429062,4.415805291410863,526,17.4007787661201
"AIC, pLDDT remove, PAE truncate_center",AIC,remove,truncate_center,40.089363286583094,13.880948903586553,4.151502500573659,55.51330798479087,32.129277566539926,2.2325800345541817,3.144761773587475,4.481568941364818,526,17.652627442574932
LRT (no pLDDT/PAE),LRT,none,none,46.86607918580117,17.300590456717227,4.216268318047424,65.20912547528516,32.129277566539926,2.2325800345541817,3.025189011318624,4.397302152477927,526,21.555388847211805
"LRT, PAE exclude_center",LRT,none,exclude_center,34.34280749658682,22.055540486970308,1.8485067128225936,61.78707224334601,32.129277566539926,2.2325800345541817,2.5935005447713073,5.269933119973176,526,23.823813096131175
"LRT, PAE exclude_region",LRT,none,exclude_region,34.18145711803401,23.566108201715036,1.684381313140799,52.09125475285171,32.129277566539926,2.2325800345541817,2.0758637544260488,4.212658531938335,526,25.09377344336084
"LRT, PAE filter_center",LRT,none,filter_center,40.11418642174507,16.43681278557867,3.4054258004517073,64.63878326996198,32.129277566539926,2.2325800345541817,3.257305958732755,5.005712833640778,526,19.84424677597971
"LRT, PAE filter_region",LRT,none,filter_region,42.298622315998514,14.91372655386092,4.182282522984828,61.78707224334601,32.129277566539926,2.2325800345541817,3.277009309033696,4.622275477962834,526,18.854713678419603
"LRT, PAE truncate_center",LRT,none,truncate_center,46.332381779818796,15.182874668780904,4.822828810552986,63.30798479087453,32.129277566539926,2.2325800345541817,3.219219651682018,4.390929119486158,526,19.66563069338763
"LRT, pLDDT exclude",LRT,exclude,none,41.93868685614993,19.259738362995265,3.028082780900408,63.49809885931559,32.129277566539926,2.2325800345541817,2.8191947365088366,4.819443959953953,526,22.523488014860856
"LRT, pLDDT exclude, PAE exclude_center",LRT,exclude,exclude_center,38.8854412312275,21.995034321600702,2.2565239987787815,59.50570342205324,32.129277566539926,2.2325800345541817,2.436187430922905,4.858132306769955,526,24.425749294466474
"LRT, pLDDT exclude, PAE exclude_region",LRT,exclude,exclude_region,39.97765917835422,24.9869598781531,1.9995293350693668,61.026615969581755,32.129277566539926,2.2325800345541817,2.248230651887217,4.527135964907103,526,27.144286071517882
"LRT, pLDDT exclude, PAE filter_center",LRT,exclude,filter_center,41.85180588308303,14.64249201944543,4.195702649658616,61.21673003802282,32.129277566539926,2.2325800345541817,3.2986331548688597,4.734753663586051,526,18.55821098131676
"LRT, pLDDT exclude, PAE filter_region",LRT,exclude,filter_region,36.40312771503041,11.35220847503599,4.46982483732599,55.893536121673,32.129277566539926,2.2325800345541817,3.736870687016939,5.080537582692814,526,14.957310756260494
"LRT, pLDDT exclude, PAE truncate_center",LRT,exclude,truncate_center,33.26300111704108,10.421665380041311,4.284110035272393,51.14068441064639,32.129277566539926,2.2325800345541817,3.730504700214265,5.202716928664661,526,13.708784338941879
"LRT, pLDDT remove",LRT,remove,none,39.158495718009185,12.85860335078971,4.361709860499276,54.752851711026615,32.129277566539926,2.2325800345541817,3.2897544064107493,4.62183991853115,526,16.643446575929698
"LRT, pLDDT remove, PAE exclude_center",LRT,remove,exclude_center,36.81270944520293,12.702121888626927,4.004012840159298,52.09125475285171,32.129277566539926,2.2325800345541817,3.2210967402177557,4.665153103999959,526,16.171900117886615
"LRT, pLDDT remove, PAE exclude_region",LRT,remove,exclude_region,37.03611766166067,12.937887291618852,3.9582187786108656,51.14068441064639,32.129277566539926,2.2325800345541817,3.117215413624876,4.351657509250859,526,16.405887186082236
"LRT, pLDDT remove, PAE filter_center",LRT,remove,filter_center,39.08402631252327,12.418368837238415,4.524979139007195,53.80228136882129,32.129277566539926,2.2325800345541817,3.309718189995417,4.529245206698487,526,16.25584967670489
"LRT, pLDDT remove, PAE filter_region",LRT,remove,filter_region,34.42968846965372,10.657430783033236,4.401814762885816,50.760456273764255,32.129277566539926,2.2325800345541817,3.6055251267989923,4.8345692346915,526,14.078519629907477
"LRT, pLDDT remove, PAE truncate_center",LRT,remove,truncate_center,38.93508750155144,12.203467629201526,4.587156167338729,53.61216730038023,32.129277566539926,2.2325800345541817,3.340230134074213,4.5126413431737715,526,16.050441181724
